,,,,Updated 380x2600px
Paint Code,Paint Name,RGB Code,,
300,Alpine White,"255, 255, 255",https://github.com/Sman19/E90-ext.380x260px/blob/88d5599e9c5abc6da52cfffe7488fc47056127ac/Alpine%20White%20-%20E90%20.png?raw=true,
668,Jet Black,"0, 0, 0",https://github.com/Sman19/E90-ext.380x260px/blob/184a291efe57013d3e0607390ab5a2eb6bde6a2b/jet%20black%20-%20E90.png?raw=true,
A29,Silverstone Metallic II | $550.00,"205, 223, 244",https://github.com/Sman19/E90-ext.380x260px/blob/c64544c1c445627d52ef9aebb7b49748cac3807c/Silverstone%20-%20E90.png?raw=true,
A30,Interlogos Blue Metallic | $550.00,"30, 53, 138",https://github.com/Sman19/E90-ext.380x260px/blob/c64544c1c445627d52ef9aebb7b49748cac3807c/Interlogos%20Blue%20Metallic%20-%20E90.png?raw=true,
A52,Space Gray Metallic | $550.00,"102, 109, 127",https://github.com/Sman19/E90-ext.380x260px/blob/9fd94093c78555c094f7399c638ce1736e2e8a88/Space%20Gray%20Metallic%20-%20E90.png?raw=true,
A73,Jerez Black Metallic | $550.00,"39, 41, 56",https://github.com/Sman19/E90-ext.380x260px/blob/c64544c1c445627d52ef9aebb7b49748cac3807c/Jerez%20black%20Metallic%20-%20E90.png?raw=true,
A75,Melborune Red Metallic | $550.00,"240, 0, 0",https://github.com/Sman19/E90-ext.380x260px/blob/c64544c1c445627d52ef9aebb7b49748cac3807c/Melborune%20Red%20Metallic%20-%20E90.png?raw=true,
381,Le Mans Blue Metallic | $550.00,"17, 93, 176",https://github.com/Sman19/E90-ext.380x260px/blob/c64544c1c445627d52ef9aebb7b49748cac3807c/LE%20Mans%20blue%20metallic%20-%20E90.png?raw=true,
490,,,,
U91 ,Frozen Black Metallic,"55, 62, 72",https://github.com/Sman19/E90-ext.380x260px/blob/42d0f66d97e9b4f2a8a8f96ab19bfdeda8194cd0/Frozen%20Black%20-%20E90.png?raw=true,
U94,Fire Orange 2,"253, 114, 4",https://github.com/Sman19/E90-ext.380x260px/blob/ead4fd3fc308c2408f822f53805c4d722032b7f5/Fire%20Orange%202%20-%20E90.png?raw=true,
337,"Dakar Yellow | $5,000.00","238, 216, 96",https://github.com/Sman19/E90-ext.380x260px/blob/184a291efe57013d3e0607390ab5a2eb6bde6a2b/dakar%20yellow%20-%20e90.png?raw=true,
B21,Atacama Yellow,"222, 196, 45",https://github.com/Sman19/E90-ext.380x260px/blob/1068208e74430bef6d77411c65d4264a415c779c/Atacama%20Yellow%20-%20E90.png?raw=true,
CRT,POLAR SILVER,"211, 211, 211",https://github.com/Sman19/E90-ext.380x260px/blob/346d3d6d06842a7c1c35c0e7ebecfe56c352803b/CRT.png?raw=true,
S34,Azurite Black Metallic,"39, 63, 126",https://github.com/Sman19/E90-ext.380x260px/blob/f4553177449eb335d3cb088a4f584b4eb9b84151/Azurite%20Black%20Metallic.png?raw=true,
X04 ,"Moonstone Metallic | $5,000.00","204, 200, 197",https://github.com/Sman19/E90-ext.380x260px/blob/b7a0aa857a2cee27b9dfdefc58af4777aa91b6ae/Moonstone%20-%20E90.png?raw=true,
B05,Monte Carlo Blue,"5, 97, 191",https://github.com/Sman19/E90-ext.380x260px/blob/f4553177449eb335d3cb088a4f584b4eb9b84151/Monte%20Carlo%20Blue%20-%20E90.png?raw=true,
448,Laguna Seca Blue,"0, 145, 193",https://github.com/Sman19/E90-ext.380x260px/blob/f9c96d6d3e36d7949ddc0670d6c415326e8b6e45/Laguna%20Seca%20Blue%20-%20E90.png?raw=true,

896,Blue Water,"209, 240, 246",https://github.com/Sman19/E90-ext.380x260px/blob/bd09a02f3dc266a0c69fb2ec1a204f395b5b9cbf/Blue%20Water%20-%20E90.png?raw=true,

INTERIOR
,INTERIOR Code,,,
,GEAT,,Anthracite/Black Cloth & Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/ANTHRACITE%20Black%20Cloth.png
,NCSW,,Black Novillo Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Black%20Novillo%20Leather.png
,NDSW,,Black Extended Novillo Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Black%20Novillo%20Leather.png
,NCH1,,Silver Novillo Leather,https://github.com/Sman19/E9x-Interiors/raw/05d770702ebbc9b3ba42808fbf60364a59a2bca1/Silver%20Novillo%20Leather.png
,NDH1,,Silver Novillo Extended Leather,https://github.com/Sman19/E9x-Interiors/raw/05d770702ebbc9b3ba42808fbf60364a59a2bca1/Silver%20Novillo%20Leather.png
,NCH2,,Fox Red Novillo Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Fox%20Red%20Novillo%20Leather.png
,NDH2,,Fox Red Extended Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Fox%20Red%20Novillo%20Leather.png
,NCH3,,Beige Novillo Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Bamboo%20Beige%20Novillo%20Leather.png
,NDH3,,Beige Novillo Extended Leather,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Bamboo%20Beige%20Novillo%20Leather.png
,NCH4,,Palladium/Black Novillo Leather | $300.00,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Black%3APadllaium%20Two-TOne.png
,NCH5,,Fox Red/Black Novillo Leather | $300.00,https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Two-Tone%20Fox%20Red%3ABlack%3ABlck.png
,NDH5,,Fox Red/Black Novillo Leather (IND),https://github.com/Sman19/E9x-Interiors/raw/c588c491108fbe4764bc1ff8c49809dc0991fa32/Two-Tone%20Fox%20Red%3ABlack%3ABlck.png
,,,,
,Z1XX,,,

,RUSTB,,,
